WholeText,Target_Name
"Simmons safety-first focus earned our company the 2021 Joint Poultry Industry Safety Award. We are proud to accept this honor on behalf of our talented team members, who helped us achieve more than 25 years in reductions in OSHA reportable incidents.",Awards/Recognition/Achievement
"Today, Simmons Foods announced it will provide a $500,000 donation to help fund the splash pad and soccer field projects included in the Master Parks Plan for the City of Gentry, Arkansas. 
The new splash pad, located in the northwest quarter of Gentry's city park which lies between Main Street and Third Street, is nearing completion. The splash pad will have over 6,000 square feet of aquatic play space featuring fountains, sprinklers and colorful sky-high water buckets. The park is designed to be inclusive for kids of all ages and abilities as well as the whole family. The soccer fields, more than a dozen in total, are scheduled to be completed later this fall. 
Simmons representatives visited the site to see the progress and present the donation to Mayor Kevin Johnston this week. 
During the visit, Mayor Johnston remarked, “This generous donation will allow us to complete our vision for these projects and provide wonderful recreational activities for families in our community. Simmons is a strong community partner and a great employer and we are so thankful for this donation and all they do in the collaborative effort of improving the quality of life and sense of place throughout the communities within our entire region.”
In making the announcement, Todd Simmons, CEO and Vice Chairman of Simmons Foods, stated, “Recreational projects like this where families and friends can come together and enjoy healthy outdoor activities are part of what makes Gentry and Northwest Arkansas a great place to live. We’re proud to see the Gentry Master Parks Plan come to life and to be part of that investment.”",Donation/Philanthropy
"Simmons Foods was recognized on Forbes' 2021 list of America's 500 Best Midsize Employers. The company said this is partly a result of the company’s focus on going “above and beyond for their employees” throughout the #COVID19 pandemic.
“Taking care of our team members with world-class benefits, a positive work environment and educational and advancement opportunities are just a few of the things that set us apart,"" said Russell Tooley, chief administrative officer at Simmons.",Awards/Recognition/Achievement
"Westlake Chemical Corporation contributed $250,000 to the Capital Area United Way’s Hurricane Ida Relief Fund in Baton Rouge, Louisiana. The Hurricane Ida Relief Fund was established to aid storm victims in the 10 parishes surrounding greater Baton Rouge.
“As a long-time member of the greater Baton Rouge community, home to approximately 1,000 of our Louisiana employees and core contractors, who work at our plants in Ascension and Iberville parishes, we are saddened by the many residents in the area who have been affected by Hurricane Ida,” said Westlake President and Chief Executive Officer Albert Chao. “We are thankful for the support of organizations like the United Way in this time of great need.”",Donation/Philanthropy
"Today Westlake Chemical Corporation announced that it has completed the acquisition of Dimex LLC, from Grey Mountain Partners, a private equity firm.
‘The acquisition of Dimex underscores our longstanding commitment to stewardship of the environment and recycling, and to taking actions that contribute to a sustainable, circular economy,’ said Robert Buesinger, executive vice president, vinyl products of Westlake Chemical Corporation.",Merger/Acquisition/Partnership
"Being listed on Nasdaq is the moment we’ve been most looking forward to. Faraday Future is not just an EV company, but also an internet and technology company, an AI product company, a software company, and a user ecosystem company. We will disrupt traditional ultra-luxury car brands as we pursue our goal to be at the top of the global market pyramid.",Awards/Recognition/Achievement
"NuGeon® Air Disc Brake Calipers are extensively tested and designed to improve performance, increase safety, and reduce cost; making NuGeon® the brand of choice for Trusted, Tested, Stopping Power.",Product/Service Launch
"At Tradewinds Plantation Berhad, we believe in preserving the environment for a sustainable future. River buffer zones have been created at our plantations to preserve the ecosystem and provide sustainable development. 
At our plantations, we have also established a culture where no open burning is allowed. This creates a harmonious balance with nature and the ecosystem. This technique has many benefits as it allows the complete return of organic matter to the soil. This helps to preserve, restore and improve soil chemicals, as well as improving the fertility and physical properties of the soil.",Donation/Philanthropy
Image,LinkedIn impressions/activity
Image,LinkedIn impressions/activity
"There must be a concentrated effort to get everyone vaccinated. We’ve done exceptionally well in the Klang Valley, and as a result, we have seen that cases of admission in the Klang Valley are less severe and give a little bit of a breathing room to our frontliners in the Klang Valley.
The same could not be said in other parts of the country, with ICU reaching 85% capacity outside the Klang Valley.
While the strategy of Mega PPV works with the urban folks, the plan outside of Klang Valley must be executed differently. Outreach programs are integral, and more than ever today, the relevance of JKKK and various other bodies, including the ATM, is needed in this vaccination effort.
KPJ has 28 hospitals across the country. Most are registered as PPVs under the PICK program, and some are already involved with drive-through PPV, industry PPV, KWAN outreach, and now corporate vaccination.
Corporates can also play a key role outside Klang Valley to speed up this process! Vaccines are available. Vaccinators are ready. Why are we waiting? Follow KPJ Healthcare Bhd and find out about our Covid 19 Vaccination program!",LinkedIn impressions/activity
Image,LinkedIn impressions/activity
"MUNCHY’S has launched a new cream cracker, enriched with 10 nutrients including vitamins B and C, and minerals Selenium and Zinc, which can help support the body’s immune system in terms of assisting physical barrier defence. As Malaysians stay home for safety, the new Munchy’s Crackers Plus is innovated to help consumers snack healthy, meeting their demand for healthier food, including snacks.
Rodney Wong, CEO of Munchy’s Malaysia says the demand for healthier, more nutritious snacks is growing steadily and the launch of new 10-nutrient Munchy’s Crackers Plus is timely to meet this increasing need.
“Due to the ongoing pandemic, consumers are now more health and safety-conscious than ever. At Munchy’s, our brand mission is to provide healthier, tastier and delightful creations that bring people together in the moments of happiness. Our products are made with the highest quality ingredients to deliver superior standards and consistency across all our brands.
“Munchy’s Crackers Plus is innovatively conceived to bring our brand promise as well as healthful and immunity-boosting benefits that everyone needs now, to our consumers through a humble cracker. We hope this new product will not only bring value in nourishing and supporting Malaysian families’ health, but also bring them happiness as they stay home together to fight this pandemic,” he said.
Munchy’s Crackers Plus is available in three flavours: Original High Calcium, High Protein Chia Seeds and High Fibre Whole Grain, and priced at RM4.80 (300g) and RM10.90 (700g).
Now, you can enjoy 10 vitamins and minerals in each pack of Munchy’s Crackers Plus conveniently at home, giving you more value for money.",Product/Service Launch
"We are pleased to announce the launch of a new, fully updated website for our Commercial Vehicle products.
www.bbb-cv.comm offers access to BBB’s new e-commerce shopping cart, an integrated e-catalog, a comprehensive resource library, and a video training center, all specific to heavy-duty alternators, starter, turbochargers, and air disc brake parts.",Product/Service Launch
"Last weekend, the Magic City Classic, one of the largest historically black college and university (HBCU) football games in the country, took place between Alabama Agricultural and Mechanical University (Alabama A&M) and Alabama State University in Birmingham, AL.
To gear up before the big game, Academy Sports + Outdoors partnered with both schools to give back to the Alabama community through the James A. Lane Boys and Girls Club and the Alabama State Athletic Foundation. During the Classic, we helped fans get gameday ready with fun activations at our booth. Now that’s what we call a touchdown!
As a contributing sponsor of the Magic City Classic and the Official Sporting Goods and Outdoor Retailer of the Southwestern Athletic Conference (SWAC), Academy is proud to partner with athletes, students and administrators to establish meaningful community initiatives within the SWAC footprint.",Merger/Acquisition/Partnership
"National First Responders Day is today, October 28! To commemorate, Academy is making a contribution of more than $100,000 across our footprint to 11 different local chapters of National Association of Police Athletic/Activities Leagues, Inc.(National PAL) and nine different first responder organizations.
In Raleigh, NC, we surprised 20 kids from the Durham PAL chapter with a shopping spree alongside local officers. In Kansas City, MO, we partnered with Kansas City Chief Laurent Duvernay-Tardif to shop with families of their local PAL for new apparel and recreational products. In Lake Charles, LA, we surprised the local fire department with a donation for new gear and fitness equipment. 
To continue to show our thanks, we're offering first responders, active-duty military and veterans a 10% discount now through November 14.",Donation/Philanthropy
Our Nucor team is proud to be recognized as the Automotive Supplier of the Year by Fastmarkets AMM's Global Awards for Steel Excellence! 🏆 We're honored to be making high-quality sustainable steel for our customers' automotive needs.,Awards/Recognition/Achievement
Image,LinkedIn impressions/activity
"Compass Minerals (NYSE: CMP), a leading global provider of essential minerals, today announced a $45 million equity investment in FORTRESS North America (Fortress), an early-stage long-term fire retardant (LTR) company dedicated to developing and producing a portfolio of more environmentally friendly and carbon neutral fire retardants to combat the devastating effects of wildfires in North America and around the world. This builds upon the initial $5 million Series A investment Compass Minerals made in Fortress, meaningfully increasing its minority equity stake ownership to approximately 45%, with the opportunity to further increase that stake over time.
Fortress is a next-generation fire retardant company focused on reinventing wildfire application technologies. Led by CEO Robert Burnham alongside a team of multi-disciplined, veteran fire professionals, Fortress is the first new company in more than 20 years to pass all testing protocols and certifications for qualifying two new LTR products. LTRs are highly specialized formulations designed specifically for aerial drops to control the spread of wildfires. Fortress’ latest FR-600 ground retardant was recently added to the United States Forest Service’s (USFS) Qualified Products List.
Fortress’ patent portfolio of LTR and ground retardant formulations has been developed primarily using essential minerals supplied from Compass Minerals’ solar evaporation site on the Great Salt Lake near Ogden, Utah, which was the foundation of the strategic alliance between the two companies.
“Since we began working closely with the entrepreneurial Fortress team approximately 18 months ago, we have been excited about the growth potential of their innovative products in what has historically been a stagnant and sole-sourced market,” said Kevin S. Crutchfield, Compass Minerals president and CEO. “We believe our support, both financially and operationally, will help accelerate that growth potential, and we anticipate Fortress’ high demand season will help to counter-balance the seasonality of our core deicing salt business.”
The USFS tests fire chemicals for safety and efficacy prior to approval for field use. The combustion retarding effectiveness test (burn test) is one of the most critical, as it assesses a new product’s ability to retard the spread of fire against the legacy chemistry of ammonium phosphate. The USFS burn test conducted for the Fortress FR-100 product showed that it performed 20-30% better than ammonium phosphate products typically in use today. Fortress’ LTRs, based on magnesium chloride technology, are also designed to deliver extended effectiveness by re-hydrating when the relative humidity rises above approximately 33%, a common occurrence overnight on many large wildfires.
Fortress plans to further expand its suite of magnesium chloride-based retardants, which provide unique properties for fighting wildfires and abating fire risk. The announced investment by Compass Minerals is expected to enable Fortress to scale more quickly by completing the construction of its manufacturing facilities for both its powder and liquid concentrate products. Fortress also expects to leverage Compass Minerals’ supply chain and logistics capabilities in support of Fortress’ market competitiveness.
“Nothing about our alliance with Compass Minerals is happenstance,” said Burnham. “The alignment of capabilities were crystal clear from our very first meeting, and taking this step now allows us to scale rapidly and effectively.”",Fund Raise/Investment
"It’s official – #Schnitzer has been certified as a Great Place To Work®! Through this Certification, we join a distinguished group of companies that value employee trust, respect, pride, and camaraderie.
“We are proud to be honored with this important recognition. Throughout our 115-year history, we have established a culture based on respect, fairness, and equal opportunity, defining excellence by innovation, employee engagement, and productivity.
Our Great Place to Work Certification is a testament to our ongoing commitment to enhancing employee experience, fostering a workplace culture of inclusion, and operating according to our core values – safety, sustainability, and integrity.”
- Tamara Lundgren, Schnitzer Chairman and Chief Executive Officer",Awards/Recognition/Achievement
"""Schnitzer is proud to continue our partnership with the National Fish and Wildlife Foundation and support the Fishing for Energy Program,” said Colin Kelly, Vice President of Public Affairs at Schnitzer Steel.
""For more than 10 years #Schnitzer operations have processed this discarded fishing gear to facilitate responsible disposal and recycling. By supporting the fishing community and working to keep our waterways clean, we strengthen our commitment to the environment– on both land and sea.""",Merger/Acquisition/Partnership
"LP is the proud recipient of The Home Depot's 2021 Merchandising Partner of the Year Award for Lumber! Selected from hundreds of suppliers, The Home Depot chose LP because of our continued success in delivering premium products manufactured with builders in mind. Thank you for such a great honor, The Home Depot!",Awards/Recognition/Achievement
"We’re proud to share that we’ve been recognized by the Dave Thomas Foundation for Adoption as an Adoption Advocate. At LP, we have long recognized that the health and well-being of our employees help us to succeed. As an addition to our comprehensive health and wellness programs for families, we implemented a Paid Adoption Leave program last year, which applies to all eligible US employees – mothers and fathers – for the adoption of a child. We firmly believe that every child deserves a permanent home and loving family and paid adoption leave is a valuable investment in our employees with growing families.",Awards/Recognition/Achievement
"We are thrilled to celebrate the official grand opening of our new Asia Pacific headquarters in Singapore! This site is home to our first manufacturing expansion outside of the US, and serves as our APAC commercial hub. At 10x Genomics, we are dedicated to fueling scientific discoveries around the globe, and we're so proud to contribute to the amazing biotech and research communities in Singapore and across Asia.
We appreciate Mr. Alvin Tan, Minister of State for Ministry of Trade and Industry (Singapore) and Ministry of Culture, Community and Youth (MCCY), and Mr. Kong Hwee Tan of the Singapore Economic Development Board (EDB), for joining the opening ceremony.",New Expansion
It’s an honor to be named one of the Top 20 companies in Inc. Magazine's inaugural list of Best-Led Companies! We are proud of this recognition and want to thank our leadership team for getting us started on our powerful mission—to master biology and advance human health.,Awards/Recognition/Achievement
"We’re honored to be a recipient of the Utah Business 2021 Green Business Award. As a company whose mission is to improve the health of people, families, and communities both locally and around the globe, Merit is excited to continue making strides toward a greener tomorrow.",Awards/Recognition/Achievement
"The spill drill is an integral component of the chemical spill Emergency Response Plan developed by the DOE to ensure that the Company’s personnel are well-equipped to effectively manage potential accidents involving the transportation of hazardous chemicals.

CCM are pleased with the outcome of the drill. Our CES team responded swiftly and worked steadily and effectively contain the chemical spill during the exercise. The drill is essential for us to understand the safety measures involved and identify the gaps that need improvement for response to an actual chemical spill.

As an advocate of greater safety in the chemical industry, CCM is committed toward ensuring a safer environment for our employees, customers, investors and the public in the community that we work in.",Product/Service Launch
"We recently announced the opening of a new Research & Development (R&D) facility at Ansan, Korea’s Engineering Plastics Innovation Center (EPIC) that will enable the development of cutting-edge solutions that will help support our customers in developing innovative solutions in #SouthKorea, the #AsiaPacific and throughout the world. The new facility houses the combined R&D team and competencies from its recent acquisition of Solvay’s polyamide business, other new competencies, as well as a Consumer Electronics Competency Center (CECC).",New Expansion
Source can't be copied from the site,Donation/Philanthropy
"Climate change affects all. Without us even realising, the uncontrolled emission of greenhouse gases has its consequences closer to home. 

The planet’s average surface temperature has risen by about 1.2 degrees Celsius since the late 19th century, a change driven largely by increased carbon dioxide emissions into the atmosphere and other human activities. It is projected Earth will be 4 degrees Celsius warmer by 2100. 

Being a maritime nation, Malaysia is prone to the drastic coastline change brought upon by the warming of ocean and shrinking ice sheets, which lead to sea level rise. A projection by National Hydraulic Research Institute of Malaysia (NAHRIM) indicated that Malaysia will experience a sea level rise between 0.25 metre to 1.06 metre in various regions by the year 2100 if the situation remains unchecked. 

Peninsular Malaysia will experience a sea level rise between 0.25 metre to 0.52 metre, with Kelantan and Kedah being the worst hit states. The situation is even grimmer in Sabah and Sarawak as both states will have to deal with a sea level rise between 0.43 metre to 1.06 metre, with north and east coasts of Sabah to bear the brunt. 
A small increase in sea level can have devastating effects, causing destructive erosion, flooding, soil contamination and loss of habitat. On a larger scale, the consequences to the ecosystem and the socioeconomic aspects of local inhabitants are unimaginable. 

According to a study, about 10% to 12% of total global anthropogenic, or man-made, greenhouse gas emission is from agriculture sector. Such emission is produced through operation during oil palm growing and processing as well as from change in carbon stock. Diesel consumption in agricultural machinery, usage of fertilisers and wastewater from estates are some of the agricultural operational activities that contributed to the statistics. 

In combating the effects of climate change, Boustead Plantations Berhad has taken several key reforms throughout the years to minimise greenhouse gases emissions from estates and mills. To improve carbon sequestration, we have increased our conservation areas and river buffer zones, a move which has and will continue to be implemented by all estates. Further reduction of emissions is made through the construction of biogas plants to capture methane. 

From 2019 to 2020, we have managed to reduce our greenhouse gases emissions, particularly from our palm oil mill effluent, fuel consumption and emissions from peat. Nevertheless, we believe we can do better for the environment. As we move towards becoming a sustainable plantation company, our target is to explore and find better avenues to radically diminish our operational impact towards the environment.",Product/Service Launch
"We are excited to collaborate with the unsung heroes in Kembara Kitchen to give back to the community in needs in these difficult times. We hope to continue this meaningful collaboration in the future!

“In helping others, we shall help ourselves, for whatever good we give out completes the circle and comes back to us.”
Flora Edwards Thank you QL Eggs for the sponsorship of 600 trays of eggs. These eggs will be paired with the carepacks which will be gifted over this weekend.",Donation/Philanthropy
"#CubaTanya is a mental health campaign by DBhd Group that aims to raise awareness on mental health conditions and encourage people to take a moment in their day to check in with themselves and those around them.

With the uncertainties and rapidly changing realities, the global COVID-19 pandemic has also put a lot of pressure on most of us. This may make us constantly feel overwhelmed, isolated, anxious, and fearful, which most of the time, we have kept silent or might even be unaware of our feelings.

In conjunction with World Suicide Prevention and Mental Health Day, DBhd Group is launching a four-month-long mental health campaign. So, make sure you turn on the post notifications to get interesting tips and guides to look after your mental health.",Product/Service Launch
Video,LinkedIn impressions/activity
"GKV has been recognized as one of the top agencies in Maryland for 2021 by Clutch, the leading B2B reviews and ratings company. GKV was featured for displaying excellence in the advertising field specifically. 

The 75 Leader Award winners are known to be market leaders for web development and design, video production, mobile app development, IT managed services, branding and more. 

Clutch analysts rank the companies following a complex research methodology, evaluating services offered, social media presence, and verified Clutch reviews, among many other factors. 

“We are proud to continue providing excellent service in our field and honored to be recognized among the top agencies to do so,” says Garry Raim, Executive Vice President of GKV. 

GKV is cited for having an impressive background of projects, responsive customer service and superior skillsets.",Awards/Recognition/Achievement
"GKV had a blast virtually celebrating the ADDY’s last night! We were honored to take home two silver awards for our Masks on Maryland campaign for the Maryland Department of Health and our newly revamped agency blog, GKVoice. Congratulations to all the winners",Awards/Recognition/Achievement
"NEW WORK! We’ve once again teamed up with SANTA MONICA BREW WORKS, INC. to design the label for their Oktoberfest Lager. This special beer is made in collaboration with a brewery in Santa Monica’s Sister City in Germany! 🍻 Prost!",Merger/Acquisition/Partnership
"NEW WORK! 💰 MGH created a new campaign to demonstrate that PeoplesBank, A Codorus Valley Company is the preferred banking choice of business people. The integrated campaign includes everything from digital video to outdoor media!",Merger/Acquisition/Partnership
"🖌️NEW WORK🖌️ MGH and Mannington Mills, Inc. recently launched Mannington on Main, a new brand geared toward boutiques, salons, barber shops, cafes, medical offices, and more. MGH created the logo, brand colors, and new website: https://lnkd.in/dTk2HZY",Merger/Acquisition/Partnership
"Boathouse just rolled out its future-of-work plan. Introducing: The Performance Autonomy Model. Empowered with the right technology and tools, employees now have the flexibility to choose where they want to work with performance top-of-mind.",Product/Service Launch
"11 tips for working with the Facebook algorithm
Reply to your audience
Aim for love more than likes
Post when your audience is online Tend to your branded Facebook Group 
The advantage of running a business Facebook Group is that, while it does take some care and feeding, it opens another channel for you to connect with your customers, fans, and community. 
It’s also a second channel for important content to reach your audience’s eyes. The Facebook algorithm prioritizes posts from Groups users care about, so a post that gets amplified in a popular Group by enthusiasts and fans is likelier to earn more reach.
Recency is a key signal. The newest posts go to the top of the news feed.
Skip the algorithm using Facebook Stories
Go Live on Facebook
Loyalty and intent: videos that people search for and return to;
Don’t post clickbait or misinformation or other evil things",LinkedIn impressions/activity
